, Maximo de coches calle maxima semaforo a la mitad    max_autos = 5000  longitud_total = 2000  posicion_semaforo = 1000.

ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,36720.85
VehiculosCreados,5000
VehiculosCompletados,5000
CiclosSemaforo,834
TiempoPromedio,245.27
VelocidadPromedio,8.29
TiempoDetenidoPromedio,32.85
Eficiencia,82.9
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
281,2009.00,2213.50,2314.75,81.95,6.54
282,2027.00,2216.90,2318.10,52.85,6.87
283,2031.00,2220.65,2321.90,83.45,6.88
284,2038.00,2228.20,2333.75,63.15,6.76
285,2045.00,2234.25,2339.60,66.80,6.79
286,2048.00,2246.80,2348.15,69.85,6.66
287,2051.00,2253.70,2354.90,88.00,6.58
288,2055.00,2258.35,2359.55,90.25,6.57
289,2075.00,2262.00,2363.20,58.85,6.94
290,2083.00,2267.25,2368.45,47.25,7.01
291,2086.00,2289.25,2391.40,93.25,6.55
292,2092.00,2294.55,2396.45,102.15,6.57
293,2114.00,2298.25,2399.50,47.40,7.01
294,2117.00,2302.20,2403.40,69.35,6.98
295,2121.00,2309.30,2410.50,65.00,6.91
296,2129.00,2314.25,2419.75,61.50,6.88
297,2132.00,2333.25,2435.40,84.50,6.59
298,2136.00,2336.50,2441.40,98.00,6.55
299,2158.00,2344.25,2445.45,79.60,6.96
300,2161.00,2348.20,2449.45,78.60,6.93
301,2164.00,2355.70,2456.90,71.35,6.83
302,2172.00,2362.05,2467.55,72.50,6.77
303,2179.00,2368.60,2473.95,57.50,6.78
304,2182.00,2378.60,2480.05,71.90,6.71
305,2185.00,2383.55,2486.15,80.60,6.64
306,2203.00,2394.05,2495.25,65.65,6.84
307,2206.00,2401.15,2506.75,71.00,6.65
308,2209.00,2405.30,2509.95,67.65,6.65
309,2213.00,2421.60,2523.50,86.10,6.44
310,2221.00,2425.95,2527.35,82.60,6.53
311,2226.00,2429.35,2530.55,95.80,6.57
312,2246.00,2433.85,2535.05,65.05,6.92
313,2249.00,2441.00,2542.20,76.50,6.82
314,2254.00,2445.65,2551.25,66.45,6.73
315,2261.00,2465.25,2567.40,104.35,6.53
316,2266.00,2470.35,2571.90,81.30,6.54
317,2272.00,2475.85,2577.25,85.60,6.55
318,2291.00,2479.65,2580.85,31.25,6.90
319,2296.00,2484.90,2586.10,37.20,6.89
320,2302.00,2488.40,2589.65,79.40,6.95
321,2309.00,2492.60,2598.10,67.00,6.92
322,2315.00,2499.15,2604.45,70.20,6.91
323,2334.00,2504.30,2608.70,37.95,7.28
324,2338.00,2510.95,2612.40,27.45,7.29
325,2341.00,2517.80,2619.15,39.65,7.19
326,2346.00,2522.55,2623.80,33.45,7.20
327,2352.00,2533.75,2639.30,62.45,6.96
328,2356.00,2538.05,2642.80,89.85,6.97
329,2361.00,2553.50,2655.45,98.20,6.79
330,2383.00,2558.75,2660.85,51.95,7.20
331,2386.00,2562.70,2664.00,34.05,7.19
332,2393.00,2565.70,2671.25,48.35,7.19
333,2398.00,2580.50,2686.00,75.65,6.94
334,2404.00,2585.20,2690.20,62.45,6.99
335,2408.00,2592.25,2696.95,64.05,6.92
336,2428.00,2599.15,2700.60,41.00,7.34
337,2434.00,2605.90,2707.25,37.50,7.32
338,2438.00,2609.20,2710.40,57.00,7.34
339,2445.00,2624.35,2729.85,90.55,7.02
340,2466.00,2629.05,2733.45,56.10,7.48
341,2469.00,2636.15,2740.45,55.05,7.37
342,2473.00,2643.60,2744.85,55.30,7.36
343,2480.00,2647.55,2748.75,52.95,7.44
344,2486.00,2653.15,2754.40,59.35,7.45
345,2489.00,2657.00,2758.20,41.95,7.43
346,2509.00,2661.85,2763.10,25.55,7.87
347,2513.00,2665.25,2770.90,21.00,7.75
348,2519.00,2685.25,2787.40,53.05,7.45
349,2525.00,2688.50,2793.90,46.45,7.44
350,2530.00,2696.15,2798.35,46.70,7.45
351,2537.00,2700.65,2801.90,69.35,7.55
352,2555.00,2704.25,2805.50,24.50,7.98
353,2558.00,2707.95,2809.15,16.85,7.96
354,2561.00,2713.55,2819.10,17.25,7.75
355,2565.00,2729.25,2831.40,62.25,7.51
356,2573.00,2733.55,2834.90,43.70,7.64
357,2578.00,2739.50,2840.75,58.75,7.61
358,2598.00,2744.60,2845.80,31.40,8.07
359,2601.00,2748.95,2850.20,32.80,8.03
360,2606.00,2753.90,2859.45,28.05,7.89
361,2613.00,2773.85,2875.60,51.00,7.62
362,2618.00,2778.75,2880.10,49.40,7.63
363,2624.00,2785.60,2886.90,58.90,7.61
364,2643.00,2792.30,2893.55,24.70,7.98
365,2648.00,2796.15,2897.35,21.90,8.02
366,2654.00,2799.70,2905.25,18.40,7.96
367,2661.00,2804.15,2908.80,21.10,8.07
368,2667.00,2818.45,2919.95,43.50,7.91
369,2686.00,2821.50,2926.70,10.70,8.31
370,2690.00,2828.00,2932.50,26.00,8.25
371,2693.00,2835.35,2937.15,25.70,8.19
372,2698.00,2840.00,2941.30,23.70,8.22
373,2704.00,2861.25,2963.40,53.70,7.71
374,2708.00,2864.70,2969.90,46.40,7.64
375,2713.00,2871.80,2973.20,58.80,7.69
376,2735.00,2876.15,2977.35,25.05,8.25
377,2738.00,2880.80,2982.00,18.65,8.20
378,2745.00,2884.85,2986.05,30.65,8.30
379,2750.00,2889.45,2995.00,28.40,8.16
380,2756.00,2895.50,3000.90,23.20,8.17
381,2760.00,2913.10,3014.35,53.60,7.86
382,2780.00,2920.45,3021.65,25.70,8.28
383,2786.00,2925.85,3027.05,30.00,8.30
384,2790.00,2930.75,3036.25,25.80,8.12
385,2797.00,2936.30,3041.65,29.30,8.17
386,2818.00,2949.35,3051.45,13.50,8.57
387,2821.00,2959.05,3060.25,28.20,8.36
388,2825.00,2964.70,3065.90,23.60,8.30
389,2832.00,2969.80,3071.05,16.40,8.37
390,2838.00,2973.25,3078.85,26.70,8.30
391,2841.00,2978.80,3082.55,26.70,8.28
392,2861.00,2985.60,3089.50,0.70,8.75
