ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,37703.05
VehiculosCreados,5000
VehiculosCompletados,5000
CiclosSemaforo,856
TiempoPromedio,219.59
VelocidadPromedio,9.12
TiempoDetenidoPromedio,13.78
Eficiencia,91.2
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
375,2867.00,2879.50,3076.90,2.50,9.53
376,2875.00,2886.55,3088.00,0.00,9.39
377,2878.00,2905.05,3103.55,21.90,8.87
378,2882.00,2910.60,3108.25,20.60,8.84
379,2890.00,2915.35,3112.75,27.90,8.98
380,2907.00,2921.35,3118.80,0.00,9.44
381,2910.00,2926.15,3123.55,0.50,9.37
382,2916.00,2930.10,3131.80,0.30,9.27
383,2923.00,2951.40,3148.85,31.30,8.86
384,2929.00,2955.30,3152.75,25.80,8.94
385,2932.00,2958.80,3156.20,25.40,8.92
386,2950.00,2965.10,3162.50,3.10,9.41
387,2957.00,2969.55,3167.00,0.00,9.52
388,2962.00,2976.50,3178.00,0.80,9.26
389,2968.00,2992.90,3191.50,17.70,8.95
390,2972.00,2998.35,3195.75,30.10,8.94
391,2994.00,3005.30,3202.75,0.00,9.58
392,2997.00,3010.95,3208.35,0.00,9.46
393,3000.00,3014.85,3212.25,1.10,9.42
394,3008.00,3019.05,3220.70,0.00,9.40
395,3015.00,3038.20,3236.00,24.20,9.05
396,3018.00,3043.90,3241.40,22.70,8.95
397,3021.00,3047.15,3244.55,29.90,8.95
398,3039.00,3052.15,3249.55,0.00,9.50
399,3043.00,3055.50,3252.90,2.50,9.53
400,3051.00,3062.55,3264.00,0.00,9.39
401,3054.00,3081.05,3279.55,21.90,8.87
402,3058.00,3086.60,3284.25,20.60,8.84
403,3066.00,3091.35,3288.75,27.90,8.98
404,3083.00,3097.35,3294.80,0.00,9.44
405,3086.00,3102.15,3299.55,0.50,9.37
406,3092.00,3106.10,3307.80,0.30,9.27
407,3099.00,3127.40,3324.85,31.30,8.86
408,3105.00,3131.30,3328.75,25.80,8.94
409,3108.00,3134.80,3332.20,25.40,8.92
410,3126.00,3141.10,3338.50,3.10,9.41
411,3133.00,3145.55,3343.00,0.00,9.52
412,3138.00,3152.50,3354.00,0.80,9.26
413,3144.00,3168.90,3367.50,17.70,8.95
414,3148.00,3174.35,3371.75,30.10,8.94
415,3170.00,3181.30,3378.75,0.00,9.58
416,3173.00,3186.95,3384.35,0.00,9.46
417,3176.00,3190.85,3388.25,1.10,9.42
418,3184.00,3195.05,3396.70,0.00,9.40
419,3191.00,3214.20,3412.00,24.20,9.05
420,3194.00,3219.90,3417.40,22.70,8.95
421,3197.00,3223.15,3420.55,29.90,8.95
422,3215.00,3228.15,3425.55,0.00,9.50
423,3219.00,3231.50,3428.90,2.50,9.53
424,3227.00,3238.55,3440.00,0.00,9.39
425,3230.00,3257.05,3455.55,21.90,8.87
426,3234.00,3262.60,3460.25,20.60,8.84
427,3242.00,3267.35,3464.75,27.90,8.98
428,3259.00,3273.35,3470.80,0.00,9.44
429,3262.00,3278.15,3475.55,0.50,9.37
430,3268.00,3282.10,3483.80,0.30,9.27
431,3275.00,3303.40,3500.85,31.30,8.86
432,3281.00,3307.30,3504.75,25.80,8.94
433,3284.00,3310.80,3508.20,25.40,8.92
434,3302.00,3317.10,3514.50,3.10,9.41
435,3309.00,3321.55,3519.00,0.00,9.52
436,3314.00,3328.50,3530.00,0.80,9.26
437,3320.00,3344.90,3543.50,17.70,8.95
438,3324.00,3350.35,3547.75,30.10,8.94
439,3346.00,3357.30,3554.75,0.00,9.58
440,3349.00,3362.95,3560.35,0.00,9.46
441,3352.00,3366.85,3564.25,1.10,9.42
442,3360.00,3371.05,3572.70,0.00,9.40
443,3367.00,3390.20,3588.00,24.20,9.05
444,3370.00,3395.90,3593.40,22.70,8.95
445,3373.00,3399.15,3596.55,29.90,8.95
446,3391.00,3404.15,3601.55,0.00,9.50
447,3395.00,3407.50,3604.90,2.50,9.53
448,3403.00,3414.55,3616.00,0.00,9.39
449,3406.00,3433.05,3631.55,21.90,8.87
450,3410.00,3438.60,3636.25,20.60,8.84
451,3418.00,3443.35,3640.75,27.90,8.98
452,3435.00,3449.35,3646.80,0.00,9.44
453,3438.00,3454.15,3651.55,0.50,9.37
454,3444.00,3458.10,3659.80,0.30,9.27
455,3451.00,3479.40,3676.85,31.30,8.86
456,3457.00,3483.30,3680.75,25.80,8.94
457,3460.00,3486.80,3684.20,25.40,8.92
458,3478.00,3493.10,3690.50,3.10,9.41
459,3485.00,3497.55,3695.00,0.00,9.52
460,3490.00,3504.50,3706.00,0.80,9.26
461,3496.00,3520.90,3719.50,17.70,8.95
462,3500.00,3526.35,3723.75,30.10,8.94
463,3522.00,3533.30,3730.75,0.00,9.58
464,3525.00,3538.95,3736.35,0.00,9.46
465,3528.00,3542.85,3740.25,1.10,9.42
466,3536.00,3547.05,3748.70,0.00,9.40
467,3543.00,3566.20,3764.00,24.20,9.05
468,3546.00,3571.90,3769.40,22.70,8.95
469,3549.00,3575.15,3772.55,29.90,8.95
470,3567.00,3580.15,3777.55,0.00,9.50
471,3571.00,3583.50,3780.90,2.50,9.53
472,3579.00,3590.55,3792.00,0.00,9.39
473,3582.00,3609.05,3807.55,21.90,8.87
474,3586.00,3614.60,3812.25,20.60,8.84
475,3594.00,3619.35,3816.75,27.90,8.98
476,3611.00,3625.35,3822.80,0.00,9.44
477,3614.00,3630.15,3827.55,0.50,9.37
478,3620.00,3634.10,3835.80,0.30,9.27
479,3627.00,3655.40,3852.85,31.30,8.86
480,3633.00,3659.30,3856.75,25.80,8.94
481,3636.00,3662.80,3860.20,25.40,8.92
482,3654.00,3669.10,3866.50,3.10,9.41
483,3661.00,3673.55,3871.00,0.00,9.52
484,3666.00,3680.50,3882.00,0.80,9.26
485,3672.00,3696.90,3895.50,17.70,8.95
486,3676.00,3702.35,3899.75,30.10,8.94
487,3698.00,3709.30,3906.75,0.00,9.58
488,3701.00,3714.95,3912.35,0.00,9.46
489,3704.00,3718.85,3916.25,1.10,9.42
490,3712.00,3723.05,3924.70,0.00,9.40
491,3719.00,3742.20,3940.00,24.20,9.05
492,3722.00,3747.90,3945.40,22.70,8.95
493,3725.00,3751.15,3948.55,29.90,8.95
494,3743.00,3756.15,3953.55,0.00,9.50
495,3747.00,3759.50,3956.90,2.50,9.53
496,3755.00,3766.55,3968.00,0.00,9.39
497,3758.00,3785.05,3983.55,21.90,8.87
498,3762.00,3790.60,3988.25,20.60,8.84
499,3770.00,3795.35,3992.75,27.90,8.98
500,3787.00,3801.35,3998.80,0.00,9.44
501,3790.00,3806.15,4003.55,0.50,9.37
502,3796.00,3810.10,4011.80,0.30,9.27
503,3803.00,3831.40,4028.85,31.30,8.86
504,3809.00,3835.30,4032.75,25.80,8.94
505,3812.00,3838.80,4036.20,25.40,8.92
